1,2.5,48.6
2,4.4,48.6
3,7.7,48.2
4,3.8,48.2
5,5.2,48.2
6,9.0,48.2
1,7.0,48.3
7,11.1,48.3
2,6.3,48.3
8,6.8,48.2
3,9.4,48.2
9,2.1,48.2
4,2.7,48.2
1,9.0,48.2
10,6.0,48.2
1,6.0,48.2
1,7.7,48.6
2,11.2,48.6
3,7.3,48.6
4,8.6,48.6
5,9.2,48.7
6,9.7,48.7
7,14.8,48.7
8,7.2,48.7
9,9.8,48.7
10,16.3,48.8
11,19.6,48.8
12,22.4,48.8
13,7.7,48.8
14,8.4,48.7
15,16.7,48.7
16,12.7,48.7
17,7.7,48.7
18,8.4,48.7
19,13.2,48.7
20,8.2,48.7
21,7.1,48.7
22,10.2,48.8
23,15.0,48.8
24,15.2,48.7
25,10.6,48.9
26,15.2,48.8
27,12.7,48.8
28,8.6,48.9
29,8.5,48.9
30,9.0,48.9
